type;traits;random_effect;estimate;STD_ERR_estimate;model_name;data_subset_number;used_seed;trait_combination
covariance;cfc+cac;animal;-0.007484;0.2751E-02;;Sample_1;no_used_seed;CacCfc
variance;cfc;residual;0.26629;0.8262E-02;;Sample_1;no_used_seed;CacCfc
genetic_correlation;cfc+cac;animal;-0.22102;0.076471;;Sample_1;no_used_seed;CacCfc
variance;cac;animal;0.011916;0.9182E-03;;Sample_1;no_used_seed;CacCfc
covariance;cfa+cac;animal;-0.00180;0.3594E-02;;Sample_1;no_used_seed;CacCfa
covariance;cfa+cac;herdyear;-0.002943;0.1589E-02;;Sample_1;no_used_seed;CacCfa
covariance;cfa+cac;residual;---;---;;Sample_1;no_used_seed;CacCfa
heritability;cac;animal;0.22936;0.02544;;Sample_1;no_used_seed;CacCfa
heritability;cfa;animal;0.29866;0.02327;;Sample_1;no_used_seed;CacCfa
ratio;cfa;residual;0.61687;0.023158;;Sample_1;no_used_seed;CacCfa
genetic_correlation;cfa+cac;animal;-0.05143;0.10270;;Sample_1;no_used_seed;CacCfa
variance;cfa;residual;0.21281;0.7401E-02;;Sample_1;no_used_seed;CacCfa
ratio;cac;herdyear;0.24814;0.011914;;Sample_1;no_used_seed;CacCfa
ratio;cac;residual;0.52250;0.023235;;Sample_1;no_used_seed;CacCfa
ratio;cfa;herdyear;0.08447;0.007654;;Sample_1;no_used_seed;CacCfa
correlation;cfa+cac;herdyear;-0.15191;0.081212;;Sample_1;no_used_seed;CacCfa
variance;cac;animal;0.01190;0.1355E-02;;Sample_1;no_used_seed;CacCfa
variance;cfa;animal;0.10303;0.8554E-02;;Sample_1;no_used_seed;CacCfa
variance;cac;herdyear;0.012875;0.7530E-03;;Sample_1;no_used_seed;CacCfa
variance;cfa;herdyear;0.029141;0.2786E-02;;Sample_1;no_used_seed;CacCfa
correlation;cfa+cac;residual;---;---;;Sample_1;no_used_seed;CacCfa
variance;cac;residual;0.02711;0.1121E-02;;Sample_1;no_used_seed;CacCfa
variance;cwc;herdyear;0.002401;0.1816E-03;;Sample_1;no_used_seed;CacCwc
ratio;cac;residual;0.52126;0.022821;;Sample_1;no_used_seed;CacCwc
variance;cwc;animal;0.003798;0.4888E-03;;Sample_1;no_used_seed;CacCwc
heritability;cwc;animal;0.21781;0.026849;;Sample_1;no_used_seed;CacCwc
ratio;cac;herdyear;0.24768;0.011813;;Sample_1;no_used_seed;CacCwc
covariance;cwc+cac;animal;-0.002672;0.5769E-03;;Sample_1;no_used_seed;CacCwc
correlation;cwc+cac;herdyear;0.54648;0.038062;;Sample_1;no_used_seed;CacCwc
variance;cac;residual;0.027083;0.1096E-02;;Sample_1;no_used_seed;CacCwc
genetic_correlation;cwc+cac;animal;-0.39576;0.092450;;Sample_1;no_used_seed;CacCwc
variance;cac;herdyear;0.012869;0.7349E-03;;Sample_1;no_used_seed;CacCwc
ratio;cwc;herdyear;0.13766;0.009804;;Sample_1;no_used_seed;CacCwc
ratio;cwc;residual;0.64453;0.025223;;Sample_1;no_used_seed;CacCwc
correlation;cwc+cac;residual;0.41741;0.026638;;Sample_1;no_used_seed;CacCwc
covariance;cwc+cac;residual;0.007283;0.4685E-03;;Sample_1;no_used_seed;CacCwc
heritability;cac;animal;0.23105;0.025335;;Sample_1;no_used_seed;CacCwc
variance;cac;animal;0.012005;0.1361E-02;;Sample_1;no_used_seed;CacCwc
covariance;cwc+cac;herdyear;0.003037;0.2822E-03;;Sample_1;no_used_seed;CacCwc
variance;cwc;residual;0.011240;0.3942E-03;;Sample_1;no_used_seed;CacCwc
variance;cac;residual;0.027205;0.1253E-02;;Sample_1;no_used_seed;CacCwa
heritability;cwa;animal;0.29718;0.02864;;Sample_1;no_used_seed;CacCwa
covariance;cwa+cac;residual;---;---;;Sample_1;no_used_seed;CacCwa
genetic_correlation;cwa+cac;animal;-0.22410;0.10426;;Sample_1;no_used_seed;CacCwa
correlation;cwa+cac;herdyear;-0.02194;0.062489;;Sample_1;no_used_seed;CacCwa
covariance;cwa+cac;animal;-0.004254;0.1961E-02;;Sample_1;no_used_seed;CacCwa
variance;cwa;animal;0.030563;0.3065E-02;;Sample_1;no_used_seed;CacCwa
heritability;cac;animal;0.22740;0.02716;;Sample_1;no_used_seed;CacCwa
ratio;cwa;herdyear;0.25210;0.014559;;Sample_1;no_used_seed;CacCwa
variance;cwa;residual;0.046354;0.2289E-02;;Sample_1;no_used_seed;CacCwa
ratio;cwa;residual;0.45072;0.024820;;Sample_1;no_used_seed;CacCwa
variance;cac;animal;0.011791;0.1451E-02;;Sample_1;no_used_seed;CacCwa
variance;cwa;herdyear;0.025927;0.1781E-02;;Sample_1;no_used_seed;CacCwa
ratio;cac;herdyear;0.24796;0.010751;;Sample_1;no_used_seed;CacCwa
ratio;cac;residual;0.52464;0.025599;;Sample_1;no_used_seed;CacCwa
variance;cac;herdyear;0.012858;0.6719E-03;;Sample_1;no_used_seed;CacCwa
covariance;cwa+cac;herdyear;-0.000401;0.1141E-02;;Sample_1;no_used_seed;CacCwa
correlation;cwa+cac;residual;---;---;;Sample_1;no_used_seed;CacCwa
covariance;ccc+caa;herdyear;0.01585;0.011425;;Sample_1;no_used_seed;CaaCcc
ratio;ccc;herdyear;0.04675;0.006059;;Sample_1;no_used_seed;CaaCcc
genetic_correlation;ccc+caa;animal;-0.39642;0.063098;;Sample_1;no_used_seed;CaaCcc
heritability;caa;animal;0.30728;0.026588;;Sample_1;no_used_seed;CaaCcc
variance;caa;herdyear;0.40017;0.021286;;Sample_1;no_used_seed;CaaCcc
covariance;ccc+caa;animal;-0.16529;0.027006;;Sample_1;no_used_seed;CaaCcc
ratio;caa;residual;0.27120;0.020659;;Sample_1;no_used_seed;CaaCcc
variance;ccc;herdyear;0.04622;0.006009;;Sample_1;no_used_seed;CaaCcc
variance;caa;animal;0.29171;0.025722;;Sample_1;no_used_seed;CaaCcc
ratio;caa;herdyear;0.42153;0.015273;;Sample_1;no_used_seed;CaaCcc
variance;ccc;residual;0.34630;0.026404;;Sample_1;no_used_seed;CaaCcc
variance;caa;residual;0.25746;0.018089;;Sample_1;no_used_seed;CaaCcc
variance;ccc;animal;0.59600;0.037160;;Sample_1;no_used_seed;CaaCcc
heritability;ccc;animal;0.60293;0.030968;;Sample_1;no_used_seed;CaaCcc
correlation;ccc+caa;herdyear;0.11657;0.083881;;Sample_1;no_used_seed;CaaCcc
ratio;ccc;residual;0.35032;0.029902;;Sample_1;no_used_seed;CaaCcc
covariance;ccc+caa;residual;---;---;;Sample_1;no_used_seed;CaaCcc
correlation;ccc+caa;residual;---;---;;Sample_1;no_used_seed;CaaCcc
variance;ccc;residual;0.34630;0.026404;;Sample_1;no_used_seed;CaaCca
variance;caa;herdyear;0.40017;0.021286;;Sample_1;no_used_seed;CaaCca
variance;caa;animal;0.29171;0.025722;;Sample_1;no_used_seed;CaaCca
heritability;ccc;animal;0.60293;0.030968;;Sample_1;no_used_seed;CaaCca
correlation;ccc+caa;herdyear;0.11657;0.083881;;Sample_1;no_used_seed;CaaCca
ratio;caa;herdyear;0.42153;0.015273;;Sample_1;no_used_seed;CaaCca
ratio;caa;residual;0.27120;0.020659;;Sample_1;no_used_seed;CaaCca
variance;caa;residual;0.25746;0.018089;;Sample_1;no_used_seed;CaaCca
heritability;caa;animal;0.30728;0.026588;;Sample_1;no_used_seed;CaaCca
correlation;ccc+caa;residual;---;---;;Sample_1;no_used_seed;CaaCca
variance;ccc;animal;0.59600;0.037160;;Sample_1;no_used_seed;CaaCca
variance;ccc;herdyear;0.04622;0.006009;;Sample_1;no_used_seed;CaaCca
genetic_correlation;ccc+caa;animal;-0.39642;0.063098;;Sample_1;no_used_seed;CaaCca
ratio;ccc;herdyear;0.04675;0.006059;;Sample_1;no_used_seed;CaaCca
covariance;ccc+caa;herdyear;0.01585;0.011425;;Sample_1;no_used_seed;CaaCca
covariance;ccc+caa;animal;-0.16529;0.027006;;Sample_1;no_used_seed;CaaCca
covariance;ccc+caa;residual;---;---;;Sample_1;no_used_seed;CaaCca
ratio;ccc;residual;0.35032;0.029902;;Sample_1;no_used_seed;CaaCca
covariance;cfc+caa;herdyear;-0.00545;0.007239;;Sample_1;no_used_seed;CaaCfc
heritability;caa;animal;0.32048;0.027199;;Sample_1;no_used_seed;CaaCfc
variance;caa;herdyear;0.40146;0.020583;;Sample_1;no_used_seed;CaaCfc
correlation;cfc+caa;residual;---;---;;Sample_1;no_used_seed;CaaCfc
ratio;caa;residual;0.25883;0.021585;;Sample_1;no_used_seed;CaaCfc
variance;caa;animal;0.30583;0.026517;;Sample_1;no_used_seed;CaaCfc
ratio;cfc;residual;0.68236;0.027839;;Sample_1;no_used_seed;CaaCfc
variance;cfc;animal;0.09773;0.011657;;Sample_1;no_used_seed;CaaCfc
heritability;cfc;animal;0.25105;0.028665;;Sample_1;no_used_seed;CaaCfc
covariance;cfc+caa;animal;0.01383;0.007329;;Sample_1;no_used_seed;CaaCfc
variance;caa;residual;0.24700;0.019085;;Sample_1;no_used_seed;CaaCfc
ratio;cfc;herdyear;0.06659;0.008010;;Sample_1;no_used_seed;CaaCfc
correlation;cfc+caa;herdyear;-0.05347;0.070983;;Sample_1;no_used_seed;CaaCfc
ratio;caa;herdyear;0.42069;0.014590;;Sample_1;no_used_seed;CaaCfc
genetic_correlation;cfc+caa;animal;0.07999;0.040084;;Sample_1;no_used_seed;CaaCfc
covariance;cfc+caa;residual;---;---;;Sample_1;no_used_seed;CaaCfc
variance;cfc;herdyear;0.02592;0.003212;;Sample_1;no_used_seed;CaaCfc
variance;cfc;residual;0.26563;0.010033;;Sample_1;no_used_seed;CaaCfc
covariance;cfa+caa;residual;-0.01013;0.8411E-02;;Sample_1;no_used_seed;CaaCfa
heritability;caa;animal;0.31833;0.010775;;Sample_1;no_used_seed;CaaCfa
covariance;cfa+caa;herdyear;-0.02173;0.006269;;Sample_1;no_used_seed;CaaCfa
ratio;caa;herdyear;0.42177;0.013166;;Sample_1;no_used_seed;CaaCfa
variance;caa;herdyear;0.40281;0.020103;;Sample_1;no_used_seed;CaaCfa
variance;cfa;animal;0.10238;0.010058;;Sample_1;no_used_seed;CaaCfa
variance;caa;residual;0.24821;0.8217E-02;;Sample_1;no_used_seed;CaaCfa
correlation;cfa+caa;residual;-0.04401;0.036137;;Sample_1;no_used_seed;CaaCfa
heritability;cfa;animal;0.29646;0.027456;;Sample_1;no_used_seed;CaaCfa
ratio;cfa;residual;0.61755;0.025618;;Sample_1;no_used_seed;CaaCfa
variance;caa;animal;0.30402;0.010390;;Sample_1;no_used_seed;CaaCfa
covariance;cfa+caa;animal;-0.03431;0.010838;;Sample_1;no_used_seed;CaaCfa
genetic_correlation;cfa+caa;animal;-0.19450;0.059207;;Sample_1;no_used_seed;CaaCfa
ratio;cfa;herdyear;0.08600;0.008508;;Sample_1;no_used_seed;CaaCfa
correlation;cfa+caa;herdyear;-0.19864;0.053939;;Sample_1;no_used_seed;CaaCfa
variance;cfa;herdyear;0.02970;0.003002;;Sample_1;no_used_seed;CaaCfa
ratio;caa;residual;0.25990;0.010983;;Sample_1;no_used_seed;CaaCfa
variance;cfa;residual;0.21328;0.8142E-02;;Sample_1;no_used_seed;CaaCfa
variance;cwc;animal;0.00384;0.000537;;Sample_1;no_used_seed;CaaCwc
heritability;cwc;animal;0.22117;0.029550;;Sample_1;no_used_seed;CaaCwc
correlation;cwc+caa;herdyear;0.12352;0.062557;;Sample_1;no_used_seed;CaaCwc
genetic_correlation;cwc+caa;animal;-0.39358;0.092210;;Sample_1;no_used_seed;CaaCwc
ratio;cwc;residual;0.64496;0.027939;;Sample_1;no_used_seed;CaaCwc
covariance;cwc+caa;animal;-0.01350;0.003184;;Sample_1;no_used_seed;CaaCwc
ratio;cwc;herdyear;0.13387;0.008869;;Sample_1;no_used_seed;CaaCwc
ratio;caa;residual;0.25900;0.019679;;Sample_1;no_used_seed;CaaCwc
correlation;cwc+caa;residual;---;---;;Sample_1;no_used_seed;CaaCwc
variance;caa;herdyear;0.40060;0.020243;;Sample_1;no_used_seed;CaaCwc
variance;cwc;residual;0.01121;0.000436;;Sample_1;no_used_seed;CaaCwc
variance;caa;animal;0.30616;0.025307;;Sample_1;no_used_seed;CaaCwc
variance;cwc;herdyear;0.00233;0.000160;;Sample_1;no_used_seed;CaaCwc
variance;caa;residual;0.24703;0.017460;;Sample_1;no_used_seed;CaaCwc
covariance;cwc+caa;herdyear;0.00377;0.001922;;Sample_1;no_used_seed;CaaCwc
ratio;caa;herdyear;0.42001;0.014691;;Sample_1;no_used_seed;CaaCwc
covariance;cwc+caa;residual;---;---;;Sample_1;no_used_seed;CaaCwc
heritability;caa;animal;0.32099;0.025834;;Sample_1;no_used_seed;CaaCwc
covariance;cwa+caa;animal;0.01855;0.004758;;Sample_1;no_used_seed;CaaCwa
variance;cwa;herdyear;0.02720;0.001462;;Sample_1;no_used_seed;CaaCwa
variance;caa;residual;0.24554;0.012021;;Sample_1;no_used_seed;CaaCwa
covariance;cwa+caa;herdyear;0.07900;0.004712;;Sample_1;no_used_seed;CaaCwa
variance;caa;animal;0.30557;0.015640;;Sample_1;no_used_seed;CaaCwa
heritability;cwa;animal;0.28416;0.014364;;Sample_1;no_used_seed;CaaCwa
genetic_correlation;cwa+caa;animal;0.19551;0.042963;;Sample_1;no_used_seed;CaaCwa
ratio;caa;herdyear;0.42220;0.011883;;Sample_1;no_used_seed;CaaCwa
ratio;cwa;residual;0.45345;0.019207;;Sample_1;no_used_seed;CaaCwa
correlation;cwa+caa;residual;0.56607;0.023687;;Sample_1;no_used_seed;CaaCwa
ratio;cwa;herdyear;0.26239;0.010407;;Sample_1;no_used_seed;CaaCwa
variance;cwa;animal;0.02946;0.001613;;Sample_1;no_used_seed;CaaCwa
heritability;caa;animal;0.32037;0.014955;;Sample_1;no_used_seed;CaaCwa
covariance;cwa+caa;residual;0.06081;0.004242;;Sample_1;no_used_seed;CaaCwa
ratio;caa;residual;0.25743;0.014592;;Sample_1;no_used_seed;CaaCwa
variance;cwa;residual;0.04701;0.001708;;Sample_1;no_used_seed;CaaCwa
correlation;cwa+caa;herdyear;0.75484;0.021093;;Sample_1;no_used_seed;CaaCwa
variance;caa;herdyear;0.40270;0.018709;;Sample_1;no_used_seed;CaaCwa
covariance;ccc+cfc;animal;0.01613;0.007849;;Sample_1;no_used_seed;CacCccCfcCwc
covariance;ccc+cac;residual;-0.00303;0.002122;;Sample_1;no_used_seed;CacCccCfcCwc
genetic_correlation;ccc+cac;animal;-0.37705;0.022793;;Sample_1;no_used_seed;CacCccCfcCwc
covariance;ccc+cac;animal;-0.03169;0.002752;;Sample_1;no_used_seed;CacCccCfcCwc
ratio;cfc;herdyear;0.07074;0.006082;;Sample_1;no_used_seed;CacCccCfcCwc
covariance;ccc+cwc;animal;0.02581;0.002388;;Sample_1;no_used_seed;CacCccCfcCwc
variance;cfc;herdyear;0.027600;0.2470E-02;;Sample_1;no_used_seed;CacCccCfcCwc
covariance;cfc+cac;animal;-0.00781;0.002283;;Sample_1;no_used_seed;CacCccCfcCwc
variance;cfc;residual;0.26715;0.006192;;Sample_1;no_used_seed;CacCccCfcCwc
ratio;cfc;residual;0.68468;0.014792;;Sample_1;no_used_seed;CacCccCfcCwc
covariance;ccc+cwc;herdyear;0.003557;0.5637E-03;;Sample_1;no_used_seed;CacCccCfcCwc
covariance;cwc+cac;animal;-0.00264;0.000311;;Sample_1;no_used_seed;CacCccCfcCwc
heritability;ccc;animal;0.60001;0.018883;;Sample_1;no_used_seed;CacCccCfcCwc
genetic_correlation;cwc+cac;animal;-0.39073;0.059935;;Sample_1;no_used_seed;CacCccCfcCwc
covariance;ccc+cac;herdyear;-0.007041;0.9580E-03;;Sample_1;no_used_seed;CacCccCfcCwc
covariance;cfc+cac;herdyear;-0.008180;0.7792E-03;;Sample_1;no_used_seed;CacCccCfcCwc
variance;cac;animal;0.01188;0.000710;;Sample_1;no_used_seed;CacCccCfcCwc
variance;ccc;residual;0.34779;0.016186;;Sample_1;no_used_seed;CacCccCfcCwc
ratio;ccc;residual;0.35099;0.017421;;Sample_1;no_used_seed;CacCccCfcCwc
variance;cac;herdyear;0.012942;0.6838E-03;;Sample_1;no_used_seed;CacCccCfcCwc
correlation;ccc+cac;residual;-0.03113;0.021355;;Sample_1;no_used_seed;CacCccCfcCwc
variance;ccc;animal;0.59456;0.022446;;Sample_1;no_used_seed;CacCccCfcCwc
variance;cwc;residual;0.01123;0.000313;;Sample_1;no_used_seed;CacCccCfcCwc
correlation;cfc+cac;residual;-0.15669;0.020893;;Sample_1;no_used_seed;CacCccCfcCwc
correlation;cwc+cac;herdyear;0.54907;0.031985;;Sample_1;no_used_seed;CacCccCfcCwc
variance;cwc;animal;0.00384;0.000351;;Sample_1;no_used_seed;CacCccCfcCwc
genetic_correlation;cfc+cac;animal;-0.23181;0.059517;;Sample_1;no_used_seed;CacCccCfcCwc
correlation;cfc+cac;herdyear;-0.43279;0.032007;;Sample_1;no_used_seed;CacCccCfcCwc
correlation;ccc+cfc;residual;0.51363;0.013848;;Sample_1;no_used_seed;CacCccCfcCwc
ratio;cwc;herdyear;0.13584;0.008172;;Sample_1;no_used_seed;CacCccCfcCwc
heritability;cfc;animal;0.24458;0.014470;;Sample_1;no_used_seed;CacCccCfcCwc
correlation;ccc+cwc;residual;0.52524;0.016870;;Sample_1;no_used_seed;CacCccCfcCwc
correlation;cfc+cwc;residual;0.45100;0.010659;;Sample_1;no_used_seed;CacCccCfcCwc
variance;cac;residual;0.02716;0.000686;;Sample_1;no_used_seed;CacCccCfcCwc
genetic_correlation;ccc+cwc;animal;0.54034;0.026146;;Sample_1;no_used_seed;CacCccCfcCwc
covariance;cwc+cac;herdyear;0.003040;0.2548E-03;;Sample_1;no_used_seed;CacCccCfcCwc
covariance;ccc+cfc;residual;0.15656;0.006228;;Sample_1;no_used_seed;CacCccCfcCwc
heritability;cwc;animal;0.22011;0.019637;;Sample_1;no_used_seed;CacCccCfcCwc
correlation;ccc+cwc;herdyear;0.33173;0.039978;;Sample_1;no_used_seed;CacCccCfcCwc
ratio;cwc;residual;0.64406;0.017366;;Sample_1;no_used_seed;CacCccCfcCwc
covariance;ccc+cfc;herdyear;0.019362;0.2530E-02;;Sample_1;no_used_seed;CacCccCfcCwc
covariance;cwc+cac;residual;0.00725;0.000318;;Sample_1;no_used_seed;CacCccCfcCwc
covariance;cfc+cwc;residual;0.02470;0.000891;;Sample_1;no_used_seed;CacCccCfcCwc
ratio;cac;herdyear;0.24894;0.010541;;Sample_1;no_used_seed;CacCccCfcCwc
correlation;cfc+cwc;herdyear;0.29143;0.042373;;Sample_1;no_used_seed;CacCccCfcCwc
covariance;cfc+cwc;herdyear;0.002356;0.3972E-03;;Sample_1;no_used_seed;CacCccCfcCwc
ratio;cac;residual;0.52247;0.014323;;Sample_1;no_used_seed;CacCccCfcCwc
ratio;ccc;herdyear;0.04900;0.005634;;Sample_1;no_used_seed;CacCccCfcCwc
genetic_correlation;ccc+cfc;animal;0.06770;0.031223;;Sample_1;no_used_seed;CacCccCfcCwc
heritability;cac;animal;0.22859;0.013139;;Sample_1;no_used_seed;CacCccCfcCwc
correlation;ccc+cfc;herdyear;0.52890;0.051458;;Sample_1;no_used_seed;CacCccCfcCwc
variance;cfc;animal;0.09543;0.005976;;Sample_1;no_used_seed;CacCccCfcCwc
covariance;cfc+cac;residual;-0.01335;0.001913;;Sample_1;no_used_seed;CacCccCfcCwc
variance;cwc;herdyear;0.002368;0.1526E-03;;Sample_1;no_used_seed;CacCccCfcCwc
correlation;cwc+cac;residual;0.41522;0.014915;;Sample_1;no_used_seed;CacCccCfcCwc
genetic_correlation;cfc+cwc;animal;0.08705;0.040093;;Sample_1;no_used_seed;CacCccCfcCwc
correlation;ccc+cac;herdyear;-0.28089;0.032301;;Sample_1;no_used_seed;CacCccCfcCwc
covariance;ccc+cwc;residual;0.03282;0.001768;;Sample_1;no_used_seed;CacCccCfcCwc
variance;ccc;herdyear;0.048556;0.5654E-02;;Sample_1;no_used_seed;CacCccCfcCwc
covariance;cfc+cwc;animal;0.00167;0.000843;;Sample_1;no_used_seed;CacCccCfcCwc
heritability;cca;animal;0.71714;0.019662;;Sample_1;no_used_seed;CaaCcaCfaCwa
covariance;cca+cfa;animal;0.04753;0.006134;;Sample_1;no_used_seed;CaaCcaCfaCwa
correlation;cca+caa;herdyear;0.11608;0.054391;;Sample_1;no_used_seed;CaaCcaCfaCwa
covariance;cfa+caa;residual;-0.01070;0.004831;;Sample_1;no_used_seed;CaaCcaCfaCwa
covariance;cca+cwa;animal;0.04232;0.005838;;Sample_1;no_used_seed;CaaCcaCfaCwa
covariance;cca+caa;herdyear;0.01718;0.008058;;Sample_1;no_used_seed;CaaCcaCfaCwa
variance;caa;animal;0.29417;0.015981;;Sample_1;no_used_seed;CaaCcaCfaCwa
ratio;cfa;herdyear;0.09371;0.007399;;Sample_1;no_used_seed;CaaCcaCfaCwa
covariance;cca+cwa;residual;0.05313;0.004210;;Sample_1;no_used_seed;CaaCcaCfaCwa
correlation;cca+caa;residual;0.38682;0.055559;;Sample_1;no_used_seed;CaaCcaCfaCwa
ratio;caa;residual;0.26886;0.013733;;Sample_1;no_used_seed;CaaCcaCfaCwa
genetic_correlation;cfa+cwa;animal;0.06456;0.031693;;Sample_1;no_used_seed;CaaCcaCfaCwa
covariance;cwa+caa;residual;0.06140;0.003736;;Sample_1;no_used_seed;CaaCcaCfaCwa
genetic_correlation;cfa+caa;animal;-0.18964;0.027452;;Sample_1;no_used_seed;CaaCcaCfaCwa
covariance;cca+cwa;herdyear;0.02284;0.002548;;Sample_1;no_used_seed;CaaCcaCfaCwa
genetic_correlation;cwa+caa;animal;0.19004;0.036760;;Sample_1;no_used_seed;CaaCcaCfaCwa
covariance;cca+caa;animal;-0.16279;0.017390;;Sample_1;no_used_seed;CaaCcaCfaCwa
correlation;cca+cfa;herdyear;0.58809;0.050554;;Sample_1;no_used_seed;CaaCcaCfaCwa
